id_Historico_Desastre;idDetalleDesastre;NombreDetalle;ValorDetalle;UnidadesDetalle;idDetalleDesastre
500093;5000933;Área afectada;1.3736095311177288;km^2;93
500094;5000943;No tiene detalle;No valor detalle;Sin unidades;94
500095;5000953;Nivel de agua;4.278708396790446;m;95
500096;5000963;Nivel de agua;22.40846539233286;m;96
500097;5000973;Impacto en infraestructura eléctrica;Leve;Sin unidades;97
500098;5000983;Velocidad de la avalancha;12.109546917233374;(m/s);98
500099;5000993;Nivel de agua;2.9903680372736243;m;99
500100;5001003;Velocidad de la avalancha;15.377039530914463;(m/s);100
500101;5001013;Nivel de agua;6.8565168376947465;m;101
500102;5001023;Velocidad de la avalancha;17.793084571036495;(m/s);102
500103;5001033;Velocidad del viento;85.4553593697575;km/h;103
500104;5001043;Nivel de agua;6.0195653200796855;m;104
500105;5001053;Velocidad del viento;145.3377348883317;km/h;105
500106;5001063;Nivel de agua;17.311245445884136;m;106
500107;5001073;Nivel de agua;2.8360474904777613;m;107
500108;5001083;Velocidad de la avalancha;14.899158785204946;(m/s);108
500109;5001093;Velocidad del viento;99.21220156596745;km/h;109
500110;5001103;Área forestal afectada;10.854002432455056;km^2;110
500111;5001113;Área forestal afectada;40.71534393835731;km^2;111
500112;5001123;Área forestal afectada;49.579606045545574;km^2;112
500113;5001133;Área forestal afectada;37.10370522786752;km^2;113
500114;5001143;Área forestal afectada;48.4413436329107;km^2;114
500115;5001153;Área forestal afectada;13.519484451820329;km^2;115
500116;5001163;Área forestal afectada;56.908944389700665;km^2;116
500117;5001173;Área forestal afectada;10.062067064433766;km^2;117
500118;5001183;Velocidad del viento;119.04871838252308;km/h;118
500119;5001193;Área forestal afectada;65.86510106491022;km^2;119
500120;5001203;Velocidad del viento;93.44414324643931;km/h;120
500121;5001213;Velocidad de la avalancha;12.146573927582788;(m/s);121
500122;5001223;Área forestal afectada;13.300970084675923;km^2;122
500123;5001233;Área forestal afectada;66.00979354236057;km^2;123
500124;5001243;Velocidad del viento;106.55151457726427;km/h;124
500125;5001253;Área forestal afectada;86.27810722869098;km^2;125
500126;5001263;Área forestal afectada;46.35533927782374;km^2;126
500127;5001273;Área forestal afectada;35.94605371836527;km^2;127
500128;5001283;Área forestal afectada;7.92872586562019;km^2;128
500129;5001293;Área forestal afectada;54.32140106333505;km^2;129
500130;5001303;Área forestal afectada;53.43519407086199;km^2;130
500131;5001313;Área forestal afectada;98.31250860314091;km^2;131
500132;5001323;Área forestal afectada;95.80501665818709;km^2;132
500133;5001333;Área forestal afectada;66.221327670519;km^2;133
500134;5001343;Área forestal afectada;71.44121294334236;km^2;134
500135;5001353;Área forestal afectada;66.69688829262526;km^2;135
500136;5001363;Área forestal afectada;38.05521364944837;km^2;136
500137;5001373;Área forestal afectada;16.87744019443562;km^2;137
500138;5001383;Área forestal afectada;69.10903633242368;km^2;138
500139;5001393;Área forestal afectada;86.76997498110948;km^2;139
500140;5001403;Área forestal afectada;60.71488709688455;km^2;140
500141;5001413;Área forestal afectada;52.22093345493262;km^2;141
500142;5001423;Área forestal afectada;30.908860838063546;km^2;142
500143;5001433;Área forestal afectada;32.34325432963446;km^2;143
500144;5001443;Área forestal afectada;78.38207779977235;km^2;144
500145;5001453;Área forestal afectada;57.20820251420776;km^2;145
500146;5001463;Área forestal afectada;22.466665108631446;km^2;146
500147;5001473;Área forestal afectada;52.85580048983915;km^2;147
500148;5001483;Área forestal afectada;81.3934531111906;km^2;148
500149;5001493;Área forestal afectada;32.242776987992684;km^2;149
500150;5001503;Área forestal afectada;66.30550444165102;km^2;150
500151;5001513;Área afectada;1.046936952474705;km^2;151
500152;5001523;Área forestal afectada;43.10644611479152;km^2;152
500153;5001533;Área afectada;0.8716728882070933;km^2;153
500154;5001543;Área forestal afectada;6.9882788824953685;km^2;154
500155;5001553;Área forestal afectada;92.3251369287732;km^2;155
500156;5001563;Área forestal afectada;32.54456146080113;km^2;156
500157;5001573;Área forestal afectada;95.39757652368519;km^2;157
500158;5001583;Área forestal afectada;33.80277157700511;km^2;158
500159;5001593;Área forestal afectada;85.65771359114987;km^2;159
500160;5001603;Magnitud de la explosión;7.943398409102766;kilotones;160
500161;5001613;Área forestal afectada;17.939456631827422;km^2;161
500162;5001623;Área forestal afectada;63.45014540763428;km^2;162
500163;5001633;Área forestal afectada;32.673930072121905;km^2;163
500164;5001643;Área forestal afectada;64.46670844033173;km^2;164
500165;5001653;Área forestal afectada;49.16053028566091;km^2;165
500166;5001663;Área forestal afectada;78.91170452414781;km^2;166
500167;5001673;Velocidad del viento;111.72686856508827;km/h;167
500168;5001683;Velocidad de la avalancha;18.06161092411513;(m/s);168
500169;5001693;Área forestal afectada;32.31693945442154;km^2;169
500170;5001703;Área afectada;1.8891500941905088;km^2;170
500171;5001713;Área forestal afectada;39.02249753499169;km^2;171
500172;5001723;Área forestal afectada;72.63062995314063;km^2;172
500173;5001733;Área forestal afectada;55.47215839534747;km^2;173
500174;5001743;Área forestal afectada;79.55755977183732;km^2;174
500175;5001753;Área forestal afectada;54.32127831714983;km^2;175
500176;5001763;Área forestal afectada;97.51068810868318;km^2;176
500177;5001773;Área forestal afectada;61.521428178874935;km^2;177
500178;5001783;Área forestal afectada;18.883482600459477;km^2;178
500179;5001793;Área forestal afectada;87.23023315332469;km^2;179
500180;5001803;Área forestal afectada;9.221074569096954;km^2;180
500181;5001813;Área forestal afectada;67.98519537579003;km^2;181
500182;5001823;Área forestal afectada;36.00167159465848;km^2;182
500183;5001833;Área forestal afectada;78.60625087655878;km^2;183
500184;5001843;Área forestal afectada;84.22597879734911;km^2;184
500185;5001853;Área forestal afectada;95.04018349311885;km^2;185
500186;5001863;Área forestal afectada;84.47574576967179;km^2;186
500187;5001873;Área forestal afectada;41.175834360420815;km^2;187
500188;5001883;Área forestal afectada;81.03467508596998;km^2;188
500189;5001893;Área forestal afectada;94.16902743226935;km^2;189
500190;5001903;Área forestal afectada;57.14200957215381;km^2;190
500191;5001913;Área forestal afectada;15.936645704309349;km^2;191
500192;5001923;Área forestal afectada;68.22510349322417;km^2;192
500193;5001933;Área forestal afectada;48.876580348927604;km^2;193
500194;5001943;Área forestal afectada;53.854882644186766;km^2;194
500195;5001953;Área forestal afectada;11.053702759989969;km^2;195
500196;5001963;Área forestal afectada;47.317122523471355;km^2;196
500197;5001973;Área forestal afectada;49.68418590166447;km^2;197
500198;5001983;Área forestal afectada;14.719219763665926;km^2;198
500199;5001993;Área forestal afectada;92.57266139452942;km^2;199
500200;5002003;Área forestal afectada;26.141113065345746;km^2;200
500201;5002013;Área forestal afectada;76.04462074710719;km^2;201
500202;5002023;Área forestal afectada;72.25005154582794;km^2;202
500203;5002033;Área forestal afectada;59.03817963150738;km^2;203
500204;5002043;Área forestal afectada;79.38947865069417;km^2;204
500205;5002053;Área forestal afectada;17.365440622116278;km^2;205
500206;5002063;Área forestal afectada;89.06658902537822;km^2;206
500207;5002073;Área forestal afectada;82.29324941965515;km^2;207
500208;5002083;Velocidad de la avalancha;14.877792575314855;(m/s);208
500209;5002093;Área forestal afectada;40.403461509583195;km^2;209
500210;5002103;Área forestal afectada;74.53616444133829;km^2;210
500211;5002113;Velocidad de la avalancha;14.7210700889554;(m/s);211
500212;5002123;Velocidad de la avalancha;17.87008458433182;(m/s);212
500213;5002133;Área afectada;0.8419335135355617;km^2;213
500214;5002143;Nivel de agua;17.349255003953896;m;214
500215;5002153;Nivel de agua;9.112355813177611;m;215
500216;5002163;Magnitud de la explosión;4.579867574791011;kilotones;216
500217;5002173;Nivel de agua;2.973465355665411;m;217
500218;5002183;Velocidad de la avalancha;10.060027836110391;(m/s);218
500219;5002193;No tiene detalle;No valor detalle;Sin unidades;219
500220;5002203;Velocidad de la avalancha;12.324166834811258;(m/s);220
500221;5002213;Velocidad del viento;118.10023844930542;km/h;221
500222;5002223;Magnitud de la erupción;4;VEI;222
500223;5002233;Velocidad de la avalancha;16.943024270729662;(m/s);223
500224;5002243;Área afectada;1.5558324512521902;km^2;224
500225;5002253;No tiene detalle;No valor detalle;Sin unidades;225
500226;5002263;Nivel de agua;11.959153005573617;m;226
500227;5002273;Daño causado;Leve;Sin unidades;227
500228;5002283;Nivel de agua;12.798294991793476;m;228
500229;5002293;Nivel de agua;27.060058497438625;m;229
500230;5002303;Área forestal afectada;81.42505833793403;km^2;230
500231;5002313;Nivel de agua;0.7428058336059484;m;231
500232;5002323;Velocidad del viento;98.51565829000414;km/h;232
500233;5002333;Área forestal afectada;7.19957401070892;km^2;233
500234;5002343;Velocidad del viento;110.6996848018892;km/h;234
500235;5002353;Velocidad del viento;140.6374656734904;km/h;235
500236;5002363;Velocidad de la avalancha;16.172385413058997;(m/s);236
500237;5002373;Velocidad de la avalancha;13.221635693925666;(m/s);237
500238;5002383;Nivel de agua;22.832317922431866;m;238
500239;5002393;Daño causado;Moderado;Sin unidades;239
500240;5002403;Daño causado;Moderado;Sin unidades;240
500241;5002413;Nivel de agua;15.436149624064896;m;241
500242;5002423;Velocidad del viento;84.004949980279;km/h;242
500243;5002433;Velocidad de la avalancha;11.152090425259939;(m/s);243
500244;5002443;Velocidad del viento;104.73207000275127;km/h;244
500245;5002453;Velocidad del viento;147.91825946367493;km/h;245
500246;5002463;Área afectada;0.6714884441765561;km^2;246
500247;5002473;Nivel de agua;10.60687753673327;m;247
500248;5002483;Velocidad del viento;90.83246244454827;km/h;248
500249;5002493;Velocidad de la avalancha;19.936303768312598;(m/s);249
500250;5002503;Área afectada;1.9968998688315542;km^2;250
500251;5002513;Área afectada;1.7934368516290025;km^2;251
500252;5002523;Área afectada;0.7807187718251507;km^2;252
500253;5002533;Área forestal afectada;65.58016967853202;km^2;253
500254;5002543;Área afectada;1.70476177882785;km^2;254
500255;5002553;Área afectada;1.3948584260214985;km^2;255
500256;5002563;Daño causado;Moderado;Sin unidades;256
500257;5002573;Área forestal afectada;40.27132383298218;km^2;257
500258;5002583;Área forestal afectada;9.662882319289945;km^2;258
500259;5002593;Área afectada;1.6493031861904885;km^2;259
500260;5002603;Nivel de agua;17.19415172519253;m;260
500261;5002613;Velocidad del viento;116.03204564399142;km/h;261
500262;5002623;Velocidad del viento;112.37259103562747;km/h;262
500263;5002633;Velocidad de la avalancha;18.44167450955787;(m/s);263
500264;5002643;Área afectada;1.9845444110754147;km^2;264
500265;5002653;Velocidad del viento;129.43913520572613;km/h;265
500266;5002663;Velocidad de la avalancha;11.212460590598335;(m/s);266
500267;5002673;Nivel de agua;24.022063272948287;m;267
500268;5002683;Velocidad de la avalancha;12.161901591595983;(m/s);268
500269;5002693;Velocidad del viento;92.7560576636634;km/h;269
500270;5002703;Velocidad de la avalancha;18.962298526264526;(m/s);270
500271;5002713;Velocidad de la avalancha;19.77982078131063;(m/s);271
500272;5002723;Nivel de agua;7.23961846183132;m;272
500273;5002733;Velocidad de la avalancha;10.496226826695613;(m/s);273
500274;5002743;Área afectada;0.6961136523423737;km^2;274
500275;5002753;Velocidad de la avalancha;14.6936304207406;(m/s);275
500276;5002763;Nivel de agua;25.59300716226977;m;276
500277;5002773;Nivel de agua;6.154778407363248;m;277
500278;5002783;Nivel de agua;16.998493105294195;m;278
500279;5002793;Área forestal afectada;48.92109370876276;km^2;279
500280;5002803;Velocidad de la avalancha;13.92986092908366;(m/s);280
500281;5002813;Nivel de agua;27.045436520983614;m;281
500282;5002823;Nivel de agua;7.439828167797467;m;282
500283;5002833;Velocidad de la avalancha;19.57166322540572;(m/s);283
500284;5002843;Nivel de agua;26.321452131306252;m;284
500285;5002853;Nivel de agua;12.277919421825715;m;285
500286;5002863;Nivel de agua;7.868433126167042;m;286
500287;5002873;Nivel de agua;11.851711585629785;m;287
500288;5002883;Nivel de agua;9.278035629113226;m;288
500289;5002893;Velocidad de la avalancha;17.948059461282856;(m/s);289
500290;5002903;Nivel de agua;15.135205455397744;m;290
500291;5002913;Velocidad de la avalancha;16.53649847334685;(m/s);291
500292;5002923;Velocidad de la avalancha;17.37106035873149;(m/s);292
500293;5002933;Velocidad de la avalancha;14.411125754669646;(m/s);293
500294;5002943;Nivel de agua;8.44682120628111;m;294
500295;5002953;Nivel de agua;0.09069881386887135;m;295
500296;5002963;Nivel de agua;12.540782806722131;m;296
500297;5002973;Nivel de agua;26.325932308318855;m;297
500298;5002983;Velocidad de la avalancha;11.099407922502841;(m/s);298
500299;5002993;Velocidad de la avalancha;17.64503570973961;(m/s);299
500300;5003003;Velocidad de la avalancha;17.066617903822724;(m/s);300
500301;5003013;Velocidad de la avalancha;15.673590021086925;(m/s);301
500302;5003023;Impacto en infraestructura eléctrica;Severo;Sin unidades;302
500303;5003033;Nivel de agua;0.023155562276071517;m;303
500304;5003043;Área afectada;1.744543649850099;km^2;304
500305;5003053;Nivel de agua;28.156530327010728;m;305
500306;5003063;Velocidad de la avalancha;15.292603489829578;(m/s);306
500307;5003073;Velocidad de la avalancha;12.125238177390708;(m/s);307
500308;5003083;Daño causado;Moderado;Sin unidades;308
500309;5003093;Área afectada;1.4294943626669447;km^2;309
500310;5003103;Área forestal afectada;34.06529473883989;km^2;310
500311;5003113;Daño causado;Severo;Sin unidades;311
500312;5003123;Velocidad del viento;100.40650859353244;km/h;312
500313;5003133;Área afectada;0.8754897811429652;km^2;313
500314;5003143;Velocidad del viento;109.72619154654089;km/h;314
500315;5003153;Velocidad de la avalancha;13.470786731004068;(m/s);315
500316;5003163;Área afectada;0.5331576874112267;km^2;316
500317;5003173;Área afectada;0.6386747390512162;km^2;317
500318;5003183;Velocidad del viento;127.81476119616579;km/h;318
500319;5003193;Área afectada;0.9648729783137598;km^2;319
500320;5003203;Velocidad de la avalancha;12.450423207551225;(m/s);320
500321;5003213;Área afectada;1.2144943545203752;km^2;321
500322;5003223;Nivel de agua;7.486659720602642;m;322
500323;5003233;Velocidad del viento;112.00249639858052;km/h;323
500324;5003243;Velocidad del viento;121.85588831626413;km/h;324
500325;5003253;Área afectada;1.203444636030708;km^2;325
500326;5003263;Nivel de agua;12.625379946273208;m;326
500327;5003273;Velocidad de la avalancha;18.528747132203478;(m/s);327
500328;5003283;Nivel de agua;3.2286169924561703;m;328
500329;5003293;Velocidad de la avalancha;16.901819894863966;(m/s);329
500330;5003303;Nivel de agua;21.46323221312964;m;330
500331;5003313;Área afectada;1.912521792212781;km^2;331
500332;5003323;Nivel de agua;27.221184645837784;m;332
500333;5003333;Velocidad de la avalancha;12.424254725807728;(m/s);333
500334;5003343;Área forestal afectada;69.24881485504362;km^2;334
500335;5003353;Velocidad del viento;122.04228700904692;km/h;335
500336;5003363;Velocidad de la avalancha;12.867247778735393;(m/s);336
500337;5003373;Área afectada;1.7748783275035607;km^2;337
500338;5003383;Área afectada;0.5476829803687875;km^2;338
500339;5003393;Velocidad de la avalancha;11.220177405984604;(m/s);339
500340;5003403;Área afectada;1.3069152671938937;km^2;340
500341;5003413;Nivel de agua;1.6466723325645123;m;341
500342;5003423;Velocidad de la avalancha;16.691270247243978;(m/s);342
500343;5003433;Área forestal afectada;87.43660907431486;km^2;343
500344;5003443;Área forestal afectada;19.949910657670433;km^2;344
500345;5003453;Área afectada;1.767277055185217;km^2;345
500346;5003463;Área forestal afectada;94.55394823071498;km^2;346
500347;5003473;Área forestal afectada;65.50144167829183;km^2;347
500348;5003483;Área forestal afectada;5.7747299770224085;km^2;348
500349;5003493;Área forestal afectada;15.14348191107242;km^2;349
500350;5003503;Nivel de contaminación;Moderado;Sin unidades;350
500351;5003513;Área afectada;0.6539477417587231;km^2;351
500352;5003523;Área forestal afectada;87.44255576545295;km^2;352
500353;5003533;Velocidad del viento;86.995485829856;km/h;353
500354;5003543;Área forestal afectada;69.01894083930571;km^2;354
500355;5003553;Área forestal afectada;85.2218243164967;km^2;355
500356;5003563;Área forestal afectada;16.315217938155335;km^2;356
500357;5003573;Área forestal afectada;86.77285012602259;km^2;357
500358;5003583;Área forestal afectada;81.04806678996115;km^2;358
500359;5003593;Área forestal afectada;61.035136330725756;km^2;359
500360;5003603;Área forestal afectada;41.49607526173082;km^2;360
500361;5003613;Área forestal afectada;0.20247937397952498;km^2;361
500362;5003623;Área forestal afectada;90.92784425736897;km^2;362
500363;5003633;Área forestal afectada;5.277621444608149;km^2;363
500364;5003643;Área forestal afectada;66.0082473535815;km^2;364
500365;5003653;Área forestal afectada;83.66463602224174;km^2;365
500366;5003663;Área forestal afectada;55.415038958146646;km^2;366
500367;5003673;Área forestal afectada;59.98247599516456;km^2;367
500368;5003683;Área forestal afectada;75.25265423353437;km^2;368
500369;5003693;Área forestal afectada;89.70699474464315;km^2;369
500370;5003703;Nivel de agua;15.938134851199887;m;370
500371;5003713;Velocidad de la avalancha;16.661029949415983;(m/s);371
500372;5003723;Nivel de agua;27.320759383770294;m;372
500373;5003733;No tiene detalle;No valor detalle;Sin unidades;373
500374;5003743;Volumen de agua;35728.971401204544;m^3;374
500375;5003753;Volumen de agua;17829.643309140483;m^3;375
500376;5003763;Volumen de agua;3031.0669040935873;m^3;376
500377;5003773;Volumen de agua;55392.81150173532;m^3;377
500378;5003783;Volumen de agua;62165.67282165467;m^3;378
500379;5003793;Volumen de agua;55209.58955113398;m^3;379
500380;5003803;Volumen de agua;31142.898095845736;m^3;380
500381;5003813;Volumen de agua;62178.2573701115;m^3;381
500382;5003823;Volumen de agua;3813.009104331738;m^3;382
500383;5003833;Volumen de agua;84494.99743448637;m^3;383
500384;5003843;Volumen de agua;35618.51420987376;m^3;384
500385;5003853;Volumen de agua;80785.31305351091;m^3;385
500386;5003863;Volumen de agua;66515.13905322694;m^3;386
500387;5003873;Volumen de agua;85822.24561320347;m^3;387
500388;5003883;Volumen de agua;63287.22491313291;m^3;388
500389;5003893;Volumen de agua;72345.94032139196;m^3;389
500390;5003903;Volumen de agua;22730.608688730386;m^3;390
500391;5003913;Volumen de agua;17428.22252083673;m^3;391
500392;5003923;Velocidad de la avalancha;12.455293217635049;(m/s);392
500393;5003933;Área afectada;1.809883855482373;km^2;393
500394;5003943;Velocidad de la avalancha;10.090476908148068;(m/s);394
500395;5003953;Área forestal afectada;66.90310927625738;km^2;395
500396;5003963;Área forestal afectada;58.08454615217726;km^2;396
500397;5003973;Área forestal afectada;49.11823356270808;km^2;397
500398;5003983;Área forestal afectada;69.12949029854006;km^2;398
500399;5003993;Área forestal afectada;23.70733910545615;km^2;399
500400;5004003;Área forestal afectada;11.246625457737968;km^2;400
500401;5004013;Área forestal afectada;54.787048212555035;km^2;401
500402;5004023;Área forestal afectada;39.79752629656462;km^2;402
500403;5004033;Área forestal afectada;99.01114497666632;km^2;403
500404;5004043;Área forestal afectada;38.55021681760513;km^2;404
500405;5004053;Área forestal afectada;8.055721607311172;km^2;405
500406;5004063;Vía de exposición;Contacto dérmico;Sin unidades;406
500407;5004073;Área forestal afectada;99.62883967379716;km^2;407
500408;5004083;Área forestal afectada;89.32124861178107;km^2;408
500409;5004093;Velocidad del viento;81.09413891399652;km/h;409
500410;5004103;Nivel de contaminación;Moderado;Sin unidades;410
500411;5004113;Velocidad del viento;117.49659004760903;km/h;411
500412;5004123;Volumen de agua;34533.16441018032;m^3;412
500413;5004133;Nivel de agua;2.9174651898318937;m;413
500414;5004143;Nivel de agua;27.642374128485113;m;414
500415;5004153;Velocidad de la avalancha;10.557356609095544;(m/s);415
500416;5004163;Velocidad de la avalancha;12.290193721067505;(m/s);416
500417;5004173;Velocidad del viento;99.7051664724668;km/h;417
500418;5004183;Área afectada;1.0834451120575748;km^2;418
500419;5004193;Nivel de agua;28.407169468609172;m;419
500420;5004203;Velocidad del viento;141.96087161221442;km/h;420
500421;5004213;Área afectada;1.0893528216122048;km^2;421
500422;5004223;Área forestal afectada;40.46633520258725;km^2;422
500423;5004233;Daño causado;Moderado;Sin unidades;423
500424;5004243;Velocidad del viento;134.04654476618413;km/h;424
500425;5004253;Área afectada;1.2731560162260245;km^2;425
500426;5004263;Velocidad del viento;127.37095669523549;km/h;426
500427;5004273;Velocidad del viento;111.46735532614025;km/h;427
500428;5004283;Velocidad del viento;106.7277921545262;km/h;428
500429;5004293;Velocidad del viento;132.90719372569473;km/h;429
500430;5004303;Área forestal afectada;91.78813804179168;km^2;430
500431;5004313;Área forestal afectada;97.57248428276762;km^2;431
500432;5004323;Magnitud de la explosión;6.2861468466704835;kilotones;432
500433;5004333;Área afectada;0.5824829874192294;km^2;433
500434;5004343;Velocidad del viento;125.96982079668527;km/h;434
500435;5004353;Área forestal afectada;79.32457827454972;km^2;435
500436;5004363;Velocidad del viento;127.69654820797511;km/h;436
500437;5004373;Velocidad del viento;90.3822654110975;km/h;437
500438;5004383;Velocidad del viento;112.60168718352664;km/h;438
500439;5004393;Velocidad del viento;125.41201368088169;km/h;439
500440;5004403;Nivel de agua;11.934725150555177;m;440
500441;5004413;Área forestal afectada;3.0695998204888553;km^2;441
500442;5004423;Área forestal afectada;75.59823227503976;km^2;442
500443;5004433;Área forestal afectada;4.772203769936356;km^2;443
500444;5004443;Área forestal afectada;65.3851836364658;km^2;444
500445;5004453;Área forestal afectada;65.71010071121403;km^2;445
500446;5004463;Área forestal afectada;6.349651326202155;km^2;446
500447;5004473;Área forestal afectada;60.250137085480205;km^2;447
500448;5004483;Área forestal afectada;72.93734470634004;km^2;448
500449;5004493;Área forestal afectada;48.54780161795347;km^2;449
500450;5004503;Área forestal afectada;72.83039973376371;km^2;450
500451;5004513;Área forestal afectada;64.08595922464528;km^2;451
500452;5004523;Área forestal afectada;52.68550688090764;km^2;452
500453;5004533;Área forestal afectada;45.07314706395245;km^2;453
500454;5004543;Velocidad del viento;92.09548175474785;km/h;454
500455;5004553;Velocidad del viento;101.16905656351518;km/h;455
500456;5004563;Velocidad del viento;125.97920677627125;km/h;456
500457;5004573;Velocidad del viento;115.28676170148876;km/h;457
500458;5004583;Velocidad del viento;121.46607687795125;km/h;458
500459;5004593;Velocidad del viento;113.87520949998051;km/h;459
500460;5004603;Velocidad del viento;148.7115271197032;km/h;460
500461;5004613;Nivel de agua;27.242492404083062;m;461
500462;5004623;Impacto en infraestructura eléctrica;Severo;Sin unidades;462
500463;5004633;Velocidad del viento;135.2024463399149;km/h;463
500464;5004643;Velocidad del viento;116.85739540697399;km/h;464
